name,price,image_link,product_url
Celeste,$34.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fm1470?page=2
Enoch,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1159?page=2
Westlake,$44.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1437?page=2
Newark,$24.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fm1372?page=2
Buckeye,$9.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1093?page=2
Galveston,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/sup1101?page=2
Roanoke,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/sup1005?page=2
Holt,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp1401?page=2
Mandy,$12.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1087?page=2
Jinbee,$5.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp1902?page=2
Mason,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp1641?page=2
Ezekiel,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1278?page=2
Salisbury,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2105?page=2
Springfield,$24.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fm1408?page=2
Huntsville,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/sup1077?page=2
Orleans,$49.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/ft0458?page=2
Vivian,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1250?page=2
Kitchener,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/sm0907?page=2
Matthew,$39.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/sm0752?page=2
Astrid,$12.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp1500?page=2
Irvine,$24.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2073?page=2
Kitty,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1658?page=2
Darcy,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/sm0787?page=2
Terre,$32.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/rm0247?page=2
Benjamin,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fm1466?page=2
Miranda,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp2325?page=2
Arlene,$9.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp1764?page=2
Iowa,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1015?page=2
Martin,$29.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/sm0795?page=2
Osborn,$34.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fz1709?page=2
Felix,$19.95,"data:image/gif;base64,R0lGODlhAQABAIAAAP///wAAACH5BAEAAAAALAAAAAABAAEAAAICRAEAOw==",https://www.glassesshop.com/eyeglasses/fp1724?page=2
